"id","compname","partname","sca.x","sca.y","sca.z","trn.x","trn.y","trn.z","rot.11","rot.12","rot.13","rot.21","rot.22","rot.23","rot.31","rot.32","rot.33"
1600,"7mm motor mount-1","7mm motor mount",1,1,1,-26.247764,26.2464075,-6.87499999999999,1,0,0,0,1,0,0,0,1
1100,"7mm motor mount-3","7mm motor mount",1,1,1,26.2463975,26.247664,-6.875,0,1,0,-1,0,0,0,0,1
100,"7mm motor mount-4","7mm motor mount",1,1,1,26.247654,-26.2464775,-6.875,0,1,0,1,0,0,0,0,1
200,"7mm motor mount-5","7mm motor mount",1,1,1,-26.2465075,-26.247734,-6.87499999999999,0,-1,0,1,0,0,0,0,1
300,"7x15 motor-1","7x15 motor",1,1,1,31.64160915848,31.64212389112,3.375,0.9832,0.1828,0,0,0,-1,-0.1828,0.9832,0
400,"7x15 motor-2","7x15 motor",1,1,1,-31.64319890875,-31.64307,3.37500000000001,0.1534,0.9882,0,0,0,-1,-0.9882,0.1534,0
500,"7x15 motor-3","7x15 motor",1,1,1,-31.6418761479,31.6426940652,3.37500000000001,0.8962,0.4436,0,0,0,-1,-0.4436,0.8962,0
600,"7x15 motor-4","7x15 motor",1,1,1,31.64152033728,-31.64217997377,3.375,0.2678,0.9635,0,0,0,-1,-0.9635,0.2678,0
1700,"battery bc-bl-01-a-1","battery bc-bl-01-a",1,1,1,-8.88178419700125e-16,-0.728000000000002,2.875,1,0,0,0,0,-1,0,1,0
1300,"battery holder board-1","battery holder board",1,1,1,-0.000999999999999446,1.77635683940025e-15,6.65000000000001,1,0,0,0,0,1,0,-1,0
1400,"header-1","header",1,1,1,1.77635683940025e-15,10.385,2.995,1,0,0,0,0,-1,0,1,0
1200,"header-2","header",1,1,1,1.77635683940025e-15,-10.385,2.995,1,0,0,0,0,-1,0,1,0
1500,"pcb-1","pcb",1,1,1,-1.77635683940025e-15,-1.77635683940025e-15,-1.11022302462516e-15,1,0,0,0,1,0,0,0,1
700,"propeller_ccw-1","propeller_ccw",1,1,1,-31.64311,31.643,11.6249615,1,0,0,0,0,-1,0,1,0
800,"propeller_ccw-2","propeller_ccw",1,1,1,31.6433318495,-31.642378138,11.6249615,0.9941,0.1084,0,0,0,-1,-0.1084,0.9941,0
900,"propeller_cw-1","propeller_cw",1,1,1,-31.6444057695,-31.6417186,11.6249615,-0.4501,0.893,0,0,0,-1,-0.893,-0.4501,0
1000,"propeller_cw-2","propeller_cw",1,1,1,31.643931954,31.644563776,11.6249615,0.6972,-0.7168,0,0,0,-1,0.7168,0.6972,0
